index, id hex, id dec, name, param, warn
    0, 0x0800,  2048, (none), 2, 
    1, 0x0801,  2049, (none), 2, 
    2, 0x0802,  2050, (none), 2, 
    3, 0x0803,  2051, (none), 2, 
    4, 0x081b,  2075, (none), 2, 
    5, 0x081c,  2076, PressRightButton, 0, 
    6, 0x081d,  2077, UnpressRightButton, 1, 
    7, 0x081e,  2078, HoldRightButton, 3, 
    8, 0x081f,  2079, UnholdRightButton, 3, 
    9, 0x0820,  2080, PressLeftButton, 0, 
   10, 0x0821,  2081, UnpressLeftButton, 1, 
   11, 0x0822,  2082, HoldLeftButton, 3, 
   12, 0x0823,  2083, UnholdLeftButton, 3, 
   13, 0x0824,  2084, PressUpButton, 0, 
   14, 0x0825,  2085, UnpressUpButton, 1, 
   15, 0x0826,  2086, PressDownButton, 0, 
   16, 0x0827,  2087, UnpressDownButton, 1, 
   17, 0x0828,  2088, HoldDownButton, 3, 
   18, 0x0829,  2089, UnholdDownButton, 3, 
   19, 0x082a,  2090, PressMenuButton, 0, 
   20, 0x082b,  2091, UnpressMenuButton, 1, 
   21, 0x082c,  2092, HoldMenuButton, 3, 
   22, 0x082d,  2093, UnholdMenuButton, 3, 
   23, 0x082e,  2094, PressFuncButton, 0, 
   24, 0x082f,  2095, UnpressFuncButton, 1, 
   25, 0x0830,  2096, PressExpButton, 0, 
   26, 0x0831,  2097, UnpressExpButton, 1, 
   27, 0x0832,  2098, PressWBButton, 0, 
   28, 0x0833,  2099, UnpressWBButton, 1, 
   29, 0x0834,  2100, PressAEFELockButton, 0, 
   30, 0x0835,  2101, UnpressAEFELockButton, 1, 
   31, 0x0836,  2102, PressMacroButton, 0, 
   32, 0x0837,  2103, UnpressMacroButton, 1, 
   33, 0x0838,  2104, HoldMacroButton, 3, 
   34, 0x0839,  2105, UnholdMacroButton, 3, 
   35, 0x083a,  2106, PressJumpButton, 0, 
   36, 0x083b,  2107, UnpressJumpButton, 1, 
   37, 0x083c,  2108, PressMultiButton, 0, 
   38, 0x083d,  2109, UnpressMultiButton, 1, 
   39, 0x083e,  2110, PressFlashButton, 0, 
   40, 0x083f,  2111, UnpressFlashButton, 1, 
   41, 0x0840,  2112, HoldFlashButton, 3, 
   42, 0x0841,  2113, UnholdFlashButton, 3, 
   43, 0x0842,  2114, PressDispButton, 0, 
   44, 0x0843,  2115, UnpressDispButton, 1, 
   45, 0x0844,  2116, HoldDispButton, 3, 
   46, 0x0845,  2117, UnholdDispButton, 3, 
   47, 0x0846,  2118, RotateElectronicMainDialRight, 2, 
   48, 0x0847,  2119, RotateElectronicMainDialLeft, 2, 
   49, 0x0848,  2120, PressPonButton, 0, 
   50, 0x0849,  2121, UnpressPonButton, 1, 
   51, 0x084a,  2122, PressSpotButton, 0, 
   52, 0x084b,  2123, UnpressSpotButton, 1, 
   53, 0x084c,  2124, PressEraseButton, 0, 
   54, 0x084d,  2125, UnpressEraseButton, 1, 
   55, 0x084e,  2126, PressSoundButton, 0, 
   56, 0x084f,  2127, UnpressSoundButton, 1, 
   57, 0x0850,  2128, HoldSoundButton, 3, 
   58, 0x0851,  2129, UnholdSoundButton, 3, 
   59, 0x0852,  2130, PressMFButton, 0, 
   60, 0x0853,  2131, UnpressMFButton, 1, 
   61, 0x0854,  2132, PressDriveButton, 0, 
   62, 0x0855,  2133, UnpressDriveButton, 1, 
   63, 0x0856,  2134, HoldDriveButton, 3, 
   64, 0x0857,  2135, UnholdDriveButton, 3, 
   65, 0x0858,  2136, PressTeleButton, 0, 
   66, 0x0859,  2137, UnpressTeleButton, 1, 
   67, 0x085a,  2138, PressMagButton, 0, 
   68, 0x085b,  2139, UnpressMagButton, 1, 
   69, 0x085c,  2140, PressWideButton, 0, 
   70, 0x085d,  2141, UnpressWideButton, 1, 
   71, 0x085e,  2142, PressReductionButton, 0, 
   72, 0x085f,  2143, UnpressReductionButton, 1, 
   73, 0x0860,  2144, PressSetButton, 0, 
   74, 0x0861,  2145, UnpressSetButton, 1, 
   75, 0x0862,  2146, HoldSetButton, 3, 
   76, 0x0863,  2147, UnholdSetButton, 3, 
   77, 0x0864,  2148, PressAFFrameButton, 0, 
   78, 0x0865,  2149, UnpressAFFrameButton, 1, 
